Enu_MeV,sigma
200,5.6439077239153856E-01
300,1.2660470718055613E+02
400,6.3650877162152983E+02
500,1.6605112192683184E+03
600,2.8125818381744980E+03
700,3.7990935997721981E+03
800,4.5293493231754182E+03
